,duration,followers,start_time,title,viewers,views,end_time
416,5.4,101,2017-11-16 23:59:00,Dirty Batman Condemned 2: Bloodshot,2397,7104,2017-11-17 05:23:00
417,4.6,80,2017-11-15 00:00:00,Ending The Harvest Harvester,3021,6863,2017-11-15 04:36:00
418,6.7,175,2017-11-11 00:41:00,"Drunk, Drug Batman 2 Condemned 2: BloodshotHarvesterSorcery",2902,10951,2017-11-11 07:23:00
419,0.7,51,2017-11-10 01:20:00,How to Build a PC [starting soon between 8-9) IRL,3716,2692,2017-11-10 02:02:00
420,5.3,130,2017-11-08 23:59:00,RNGrievous Hand of Fate 2,2031,10529,2017-11-09 05:17:00
421,5.3,158,2017-11-07 23:56:00,"Go Fish, but you have to fight people Hand of Fate 2",4145,10143,2017-11-08 05:14:00
422,5.5,105,2017-11-03 23:03:00,"Grab Anything, Survive the Psychos Condemned: Criminal OriginsVampire: The Masquerade - Bloodlines",2441,7066,2017-11-04 04:33:00
423,5.4,110,2017-11-02 23:11:00,Assasin Creed 0 Assassin's Creed OriginsCondemned: Criminal Origins,2707,8534,2017-11-03 04:35:00
424,4.0,67,2017-11-01 22:55:00,Mop Mouth Monster Makes Men Maniacs Call of Cthulhu: Dark Corners of the EarthClock Tower,2619,5486,2017-11-02 02:55:00
425,5.7,119,2017-10-28 21:53:00,Halloweek Freight Train Vampire: The Masquerade - Bloodlines,2697,9547,2017-10-29 03:35:00
426,6.2,75,2017-10-27 22:54:00,Halloweek Freight Train Clive Barker's UndyingPhantasmagoria: A Puzzle of FleshUnknown,1987,7342,2017-10-28 05:06:00
427,4.6,85,2017-10-26 22:59:00,Halloweek Freight Train NosferatuPhantasmagoria: A Puzzle of FleshShadow Man,2347,6261,2017-10-27 03:35:00
428,4.3,75,2017-10-25 23:37:00,Halloweek Freight Train The Suffering,2394,6773,2017-10-26 03:55:00
429,2.6,58,2017-10-19 00:10:00,EEELEX ELEX,2390,6088,2017-10-19 02:46:00
430,3.6,64,2017-10-17 22:59:00,PS3 Hell Dead to Rights: RetributionHazeLucha Libre AAA Heroes del RingMindjackTony Hawk: RIDEUnknown,2321,5184,2017-10-18 02:35:00
431,4.5,174,2017-10-14 12:57:00,Whatboutdeylegs? Middle-earth: Shadow of War,3078,7849,2017-10-14 17:27:00
432,4.6,58,2017-10-14 00:20:00,Monsters: Evil Within 2 [Mew 2] Darkest DungeonThe Evil Within 2,2208,7111,2017-10-14 04:56:00
433,6.3,89,2017-10-12 23:14:00,Orc Mediation Services Middle-earth: Shadow of War,2004,7499,2017-10-13 05:32:00
434,5.9,69,2017-10-10 22:51:00,Rain-jah Vs. Orc Scum Middle-earth: Shadow of War,2126,7780,2017-10-11 04:45:00
435,4.6,51,2017-10-07 00:46:00,PSVR Puke Party EverestParanormal Activity: The Lost SoulRollercoaster DreamsUnknownUntil Dawn: Rush of BloodVRog,2346,7453,2017-10-07 05:22:00
436,3.0,125,2017-10-05 23:01:00,Deal with the Devil Cuphead,3387,8336,2017-10-06 02:01:00
437,4.5,255,2017-09-29 22:58:00,Cartoon Cartoon Fridays Cuphead,3727,11311,2017-09-30 03:28:00
438,4.7,77,2017-09-28 22:40:00,Dog Bone Warrior Demon's Souls,2106,5990,2017-09-29 03:22:00
439,5.7,95,2017-09-26 23:05:00,Slathering my Blade with Demon Aioli Demon's Souls,2034,6923,2017-09-27 04:47:00
440,1.4,19,2017-09-22 03:09:00,kung fu rider IRLKung Fu RiderStart the Party,1798,3128,2017-09-22 04:33:00
441,2.2,32,2017-09-22 00:22:00,"Monkey See, Monkey Do Echo",2532,4776,2017-09-22 02:34:00
442,5.1,103,2017-09-18 23:48:00,Demon Souls-like RPG Demon's Souls,2017,5269,2017-09-19 04:54:00
443,4.4,82,2017-09-14 23:09:00,The First Souls [Blind] Demon's Souls,2075,6021,2017-09-15 03:33:00
444,3.5,88,2017-09-13 00:33:00,Dark Souls 0 [Blind] Demon's Souls,2496,5205,2017-09-13 04:03:00
445,4.4,120,2017-09-08 23:00:00,Spin the PS3 Roulette FractureJohn Woo presents StrangleholdLairNaughty BearNeverDeadPLAYERUNKNOWN'S BATTLEGROUNDSThe Voice: I Want YouVampire Rain: Altered Species,2503,9207,2017-09-09 03:24:00
446,4.0,78,2017-09-07 22:36:00,You Gatta. Have. Confidence. Darkest Dungeon,2071,5411,2017-09-08 02:36:00
447,5.1,164,2017-09-05 23:08:00,Overconfidence yada yada yada Darkest Dungeon,2284,7967,2017-09-06 04:14:00
448,4.4,155,2017-09-01 23:01:00,"Hollywood, Here I come! TV SuperstarsYoostar 2: In The Movies",3333,7051,2017-09-02 03:25:00
449,3.0,73,2017-08-31 23:33:00,Jay Born Born to RockPrison Break: The ConspiracyRobert Ludlum's The Bourne ConspiracyUnknown,2403,2177,2017-09-01 02:33:00
450,4.3,309,2017-08-30 00:27:00,Stalker Video Game AbsolverS.T.A.L.K.E.R.: Shadow of Chernobyl,2471,10249,2017-08-30 04:45:00
451,5.0,118,2017-08-25 23:04:00,Magus LegendaryMagusThe SaboteurWheelman,2425,9999,2017-08-26 04:04:00
452,5.1,119,2017-08-24 23:00:00,"Bear Grylls, guide my path Jurassic: The HuntedMan vs. WildTokyo Jungle",2456,7543,2017-08-25 04:06:00
453,4.8,128,2017-08-22 22:59:00,The King of The Jungle Tokyo Jungle,2546,10346,2017-08-23 03:47:00
454,4.6,247,2017-08-18 23:40:00,Blind Stalker S.T.A.L.K.E.R.: Shadow of Chernobyl,2213,7903,2017-08-19 04:16:00
455,3.7,119,2017-08-17 23:00:00,Gunslinga' Call of Juarez: GunslingerCrashdayIRLThe Typing of The Dead: OverkillUnknown,2299,5899,2017-08-18 02:42:00
456,4.8,99,2017-08-16 23:43:00,Expedition: Blow Up Mars Red Faction: Guerrilla,1586,4733,2017-08-17 04:31:00
457,5.8,104,2017-08-15 22:47:00,Mars Moving Company Red Faction: Guerrilla,1933,5972,2017-08-16 04:35:00
458,4.1,143,2017-08-11 22:58:00,Call in The Custodian Red Faction: Guerrilla,2249,5357,2017-08-12 03:04:00
459,4.8,122,2017-08-10 22:55:00,Goth of the 2000's GothicGothic 3 : Forsaken GodsIRL,2446,7398,2017-08-11 03:43:00
460,1.4,12,2017-08-09 17:59:00,Quick Little Streamie Redeemer,1414,2037,2017-08-09 19:23:00
461,3.7,119,2017-08-08 23:02:00,Dark M of M&M's Dark Messiah of Might & Magic,2000,4849,2017-08-09 02:44:00
462,4.1,99,2017-08-07 23:08:00,Master of the Slippery Kick Dark Messiah of Might & Magic,2244,6319,2017-08-08 03:14:00
463,3.8,149,2017-08-04 23:06:00,Dark Magic Dark Messiah of Might & Magic,1924,5756,2017-08-05 02:54:00
464,3.6,725,2017-08-03 22:57:00,Jermania: Stream Edition 2017 WWE 2K17,5533,10033,2017-08-04 02:33:00
